                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7991,                0.94966,                 1.0826,                 0.9533,                0.89705,                0.95574,                0.51248,                  1.598,                0.81376,                 1.0483,             0.00088899,             0.00088899,             0.00088899
                     36,                 1.8326,                0.93979,                 1.0834,                0.94565,                0.88513,                0.94418,                0.51519,                 1.6326,                0.83528,                 1.0607,             0.00086541,             0.00086541,             0.00086541
                     37,                 1.7705,                0.92595,                 1.0809,                0.91895,                0.89477,                0.93784,                0.52049,                 1.6445,                0.80966,                 1.0642,             0.00084184,             0.00084184,             0.00084184
                     38,                 1.7785,                0.94804,                 1.0854,                0.94154,                0.88205,                0.94653,                 0.5535,                 1.4875,                0.77869,                 1.0272,             0.00081826,             0.00081826,             0.00081826
                     39,                 1.7272,                0.88826,                 1.0727,                0.90779,                0.91041,                0.94461,                0.54377,                 1.5003,                0.79104,                 1.0225,             0.00079468,             0.00079468,             0.00079468
                     40,                 1.7038,                0.89265,                 1.0546,                0.92616,                0.90549,                0.95086,                0.54473,                 1.4847,                0.77783,                 1.0257,             0.00077111,             0.00077111,             0.00077111
                     41,                 1.6993,                0.92264,                 1.0828,                0.93759,                0.91914,                0.95232,                 0.5443,                 1.5404,                0.78341,                 1.0388,             0.00074753,             0.00074753,             0.00074753
                     42,                 1.6457,                0.87602,                 1.0581,                0.93379,                0.88999,                 0.9576,                0.56116,                 1.4586,                 0.7672,                 1.0087,             0.00072395,             0.00072395,             0.00072395
                     43,                 1.7104,                 0.9038,                 1.0566,                0.92641,                0.90226,                0.95721,                0.57131,                 1.4364,                0.81911,                 1.0061,             0.00070038,             0.00070038,             0.00070038
                     44,                 1.7019,                0.91677,                  1.053,                0.93205,                0.89817,                0.95656,                0.55376,                  1.489,                0.77137,                 1.0174,              0.0006768,              0.0006768,              0.0006768
                     45,                 1.6367,                0.85655,                 1.0484,                 0.9524,                0.92408,                0.95981,                0.57544,                 1.4463,                0.76646,                 1.0026,             0.00065323,             0.00065323,             0.00065323
                     46,                 1.6593,                0.85663,                 1.0453,                0.94592,                0.93187,                0.95938,                0.57375,                  1.432,                0.76762,                0.99914,             0.00062965,             0.00062965,             0.00062965
                     47,                 1.6945,                0.86929,                 1.0572,                0.95158,                 0.9201,                0.95774,                0.57742,                 1.4483,                0.74142,                 1.0175,             0.00060607,             0.00060607,             0.00060607
                     48,                 1.6758,                0.87055,                 1.0399,                0.91025,                0.90558,                 0.9514,                0.50548,                 1.5694,                0.77597,                 1.0221,              0.0005825,              0.0005825,              0.0005825
                     49,                 1.6141,                  0.849,                 1.0221,                 0.9343,                0.91534,                0.95756,                0.59339,                  1.393,                0.73859,                0.99002,             0.00055892,             0.00055892,             0.00055892
                     50,                 1.6056,                0.85116,                 1.0358,                0.94137,                0.92395,                0.95429,                0.56623,                 1.4332,                0.72425,                0.99687,             0.00053535,             0.00053535,             0.00053535
                     51,                 1.6551,                0.86834,                 1.0581,                0.96133,                0.92817,                0.96062,                0.58167,                 1.4136,                0.72403,                0.99516,             0.00051177,             0.00051177,             0.00051177
                     52,                 1.5574,                0.83829,                 1.0418,                0.94977,                 0.9077,                0.95417,                0.58253,                 1.4006,                0.73751,                 0.9912,             0.00048819,             0.00048819,             0.00048819
                     53,                 1.6019,                0.82806,                 1.0403,                0.95201,                0.89817,                0.95944,                0.58146,                 1.4043,                0.71329,                0.99248,             0.00046462,             0.00046462,             0.00046462
                     54,                  1.565,                 0.8022,                 1.0182,                0.96335,                0.92428,                0.96221,                0.58561,                 1.4066,                0.70159,                0.99223,             0.00044104,             0.00044104,             0.00044104
                     55,                 1.6007,                0.82475,                  1.031,                0.93892,                0.95172,                0.96711,                0.59846,                 1.3592,                0.70226,                0.98346,             0.00041746,             0.00041746,             0.00041746
                     56,                 1.5798,                0.83114,                 1.0263,                0.95675,                0.91793,                0.96414,                0.59506,                 1.4004,                0.72284,                0.99441,             0.00039389,             0.00039389,             0.00039389
                     57,                 1.5902,                0.83431,                 1.0368,                0.93619,                0.91309,                0.96236,                0.59266,                 1.3673,                0.71872,                0.98142,             0.00037031,             0.00037031,             0.00037031
                     58,                 1.5676,                0.81217,                 1.0224,                0.96787,                0.91956,                0.96158,                0.58506,                 1.4018,                0.70753,                0.98845,             0.00034674,             0.00034674,             0.00034674
                     59,                  1.561,                0.82296,                 1.0315,                0.96053,                0.94454,                0.96387,                0.59321,                 1.3775,                0.70589,                0.98553,             0.00032316,             0.00032316,             0.00032316
                     60,                 1.5284,                0.80447,                 1.0197,                0.96548,                0.94836,                0.96446,                 0.6052,                 1.3369,                0.69394,                0.97253,             0.00029958,             0.00029958,             0.00029958
                     61,                 1.4772,                0.81951,                 1.0256,                0.96127,                0.95518,                0.96339,                0.59712,                 1.3488,                0.70223,                 0.9719,             0.00027601,             0.00027601,             0.00027601
                     62,                 1.4864,                0.81285,                  1.024,                0.96433,                0.94272,                0.96666,                0.60157,                 1.3534,                0.69381,                0.97426,             0.00025243,             0.00025243,             0.00025243
                     63,                 1.4379,                0.78793,                 1.0204,                0.95732,                0.93673,                0.96516,                0.59322,                 1.3923,                0.70084,                0.98404,             0.00022886,             0.00022886,             0.00022886
                     64,                 1.4398,                0.78419,                 1.0178,                 0.9708,                0.92053,                0.96493,                0.60529,                 1.3322,                0.69059,                0.96735,             0.00020528,             0.00020528,             0.00020528
                     65,                 1.4407,                0.77924,                 1.0167,                0.96332,                0.93372,                0.96383,                 0.6043,                 1.3425,                  0.692,                0.97102,              0.0001817,              0.0001817,              0.0001817
                     66,                 1.4369,                0.77952,                  1.022,                0.96247,                0.92887,                0.96327,                0.59483,                 1.3884,                0.70052,                0.98119,             0.00015813,             0.00015813,             0.00015813
                     67,                 1.4251,                0.77545,                 1.0123,                0.97782,                0.93348,                0.96477,                0.60491,                 1.3382,                0.68417,                0.97007,             0.00013455,             0.00013455,             0.00013455
                     68,                 1.4047,                0.76123,                 1.0052,                0.97404,                0.94125,                0.96657,                0.60766,                 1.3258,                0.67877,                0.96576,             0.00011097,             0.00011097,             0.00011097
                     69,                 1.4066,                0.76224,                 1.0121,                0.97501,                 0.9396,                0.96669,                0.60743,                 1.3289,                0.67639,                 0.9658,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     70,                 1.4192,                0.76689,                 1.0046,                0.97992,                0.93913,                0.96713,                  0.612,                 1.3154,                0.67288,                0.96315,             6.3822e-05,             6.3822e-05,             6.3822e-05
